SpMax_L,J_Dz(e),nHM,F01[N-N],F04[C-N],NssssC,nCb-,C%,nCp,nO,F03[C-N],SdssC,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,nCrt,C-026,F02[C-N],nHDon,SpMax_B(m),Psi_i_A,nN,SM6_B(m),nArCOOR,nX,experimental class
4.523,4.0241,0,0,0,0,0,31.6,2,3,0,-0.913,3.082,1.837,9.454,6,1.021,1.142,0,0,0,1.121,0,0,0,0,2.074,0.048,0,20.676,2.57,0,0,0,0,3.494,3.093,0,7.912,0,0,RB
4.475,3.5408,0,0,0,0,0,32.4,2,4,0,-0.855,4.103,3.664,10.32,6,0.982,1.14,0,0,0,1.181,0,0,0,0,2.105,0,0,23.157,9.847,0,0,0,0,3.474,2.083,0,8.622,0,0,RB
4.836,5.6969,0,0,0,0,0,32.5,6,6,0,-0.851,4.293,2.929,10.906,17,0.989,1.14,0,0,0,1.178,0,0,0,0,2.262,0,0,37.824,4.685,0,0,0,0,3.526,2.268,0,8.951,0,0,RB
4.476,3.7418,0,0,0,0,0,30,3,2,0,-0.195,2.917,1.5,9.345,2,0.998,1.146,0,0,0,1.153,0,0,0,0,2.042,-0.079,0,10.191,2.34,0,0,0,0,3.389,2.625,0,7.628,0,0,RB
4.235,3.3919,0,0,0,0,0,28.6,2,3,0,-0.255,3.039,1.975,9.118,1,1.014,1.149,0,0,0,1.124,0,0,0,0,1.962,0.048,0,10.129,3.449,0,0,0,0,3.35,2.685,0,7.677,0,0,RB
4.38,3.3996,0,0,0,0,0,30.8,1,4,0,-1.068,3.345,2.252,9.625,5,1.019,1.144,0,0,0,1.138,0,0,0,0,2.044,-0.008,0,20.772,4.178,0,0,0,1,3.379,3.028,0,8.09,0,0,RB
4.412,3.4435,0,0,0,0,0,33.9,2,4,0,-0.268,4.587,4.437,10.757,8,0.974,1.137,0,0,0,1.208,0,0,0,0,2.086,0,0,23.892,17.114,0,0,0,0,3.395,1.899,0,9.075,0,0,RB
4.243,3.0402,0,0,0,0,0,31.3,0,4,0,-1.48,3.477,2.522,9.716,4,1.008,1.143,0,0,0,1.139,0,0,0,0,2,-0.002,0,20.288,5.475,0,0,0,2,3.337,2.952,0,8.169,0,0,RB
4.237,3.0152,0,0,0,0,0,31.8,0,4,0,-1.396,3.699,2.948,9.917,4,0.995,1.142,0,0,0,1.158,0,0,0,0,2,0,0,20.53,7.174,0,0,0,2,3.335,2.63,0,8.317,0,0,RB
4.412,3.7308,0,0,0,0,0,30.6,2,8,0,-0.554,4.201,3.774,10.379,8,1.002,1.144,0,0,0,1.146,0,0,0,0,2.085,0,0,23.21,10.723,0,0,0,0,3.397,2.311,0,8.752,0,0,RB
4.544,3.9936,0,0,0,0,0,30.4,2,4,0,-1.072,3.272,2.187,9.59,6,1.027,1.145,0,0,0,1.142,0,0,0,0,2.101,0.015,0,21.21,3.207,0,0,0,0,3.486,2.985,0,8.051,0,0,RB
4.399,3.455,1,0,0,0,0,32.3,2,4,0,-0.228,4.363,4.044,10.513,8,0.979,1.138,0,0,0,1.202,0,0,0,0,2.08,0,0,23.602,12.745,0,0,0,0,3.645,1.976,0,9.017,0,0,RB
4.706,4.2802,0,0,0,0,0,30,2,4,0,-1.853,3.192,1.922,9.565,2,1.036,1.146,0,0,0,1.13,0,0,0,0,2.127,-0.028,0,20.872,2.691,0,0,0,0,3.586,3.133,0,8.016,0,0,RB
4.67,4.0218,0,0,0,0,0,33.3,3,2,0,0.218,3.447,2.21,9.961,7,0.983,1.139,0,0,0,1.203,0,0,0,0,2.147,-0.002,0,11.115,3.769,0,0,0,0,3.53,2.262,0,8.143,0,0,RB
4.644,3.7043,0,0,0,0,0,33.3,2,2,0,0.185,3.146,1.922,9.536,6,0.993,1.139,0,0,0,1.197,0,0,0,0,2.089,-0.025,0,10.696,3.237,0,0,0,0,3.525,2.533,0,7.913,0,0,RB
4.644,3.122,0,0,0,0,0,33.3,2,2,0,0.238,3.939,3.418,10.195,6,0.973,1.138,0,0,0,1.21,0,0,0,0,2.094,0,0,11.181,9.52,0,0,0,0,3.525,1.931,0,8.459,0,0,RB
4.343,3.9399,0,0,0,0,0,33.3,0,4,0,-2.514,3.047,1.5,9.309,4,1.09,1.139,0,0,0,1.108,0,0,0,0,2,-0.097,0,19.107,2.682,0,0,0,2,3.519,4.167,0,8.016,0,0,RB
4.17,3.2723,0,0,0,0,0,22.2,1,3,0,-1.19,2.555,0.971,8.597,0,1.083,1.162,0,0,0,1.018,0,0,0,0,1.848,0.46,0,9.118,1.542,0,0,0,2,3.333,4.433,0,7.299,0,0,RB
4.588,4.0275,0,0,0,0,0,32,3,3,0,-0.579,3.256,1.859,9.768,5,1.007,1.141,0,0,0,1.174,0,0,0,0,2.12,0.014,0,21.203,3.114,0,0,0,0,3.48,2.833,0,8.066,0,0,RB
4.17,3.3821,0,0,0,0,0,40,1,0,2,0.56,2.559,0.971,8.597,0,0.987,1.133,0,0,0,1.332,0,0,0,0,1.848,0.401,0,0,1.542,0,0,1,0,3.452,3.033,1,7.564,0,0,RB
5.098,3.8431,1,0,0,0,0,17.6,0,3,0,0,3.176,1.5,9.872,3,1.041,1.159,0,0,0,1.131,0,0,0,0,2.112,-0.085,0,19.811,2.472,0,0,1,2,4.692,3.552,1,9.315,0,0,RB
4.214,3.5181,1,0,0,0,0,27.3,1,2,0,-0.738,2.953,1.459,8.755,1,1.057,1.146,0,0,0,1.174,0,0,1,0,1.902,-0.263,0,9.587,2.052,0,0,0,0,3.815,3.296,0,8.172,0,1,RB
5.098,3.1338,1,0,0,0,0,27.3,1,4,0,0,3.72,2.911,10.229,4,0.992,1.145,0,0,0,1.168,0,0,0,0,2.121,0,0,10.364,6.651,0,0,0,2,4.45,2.459,0,9.153,0,0,RB
4.372,3.4629,0,0,0,0,0,38.5,2,0,0,2.495,3.129,1.922,9.494,0,0.964,1.128,0,0,0,1.288,0,0,0,0,2.031,-0.023,0,0,3.412,0,0,0,0,3.363,2.033,0,7.909,0,0,RB
4.17,2.2197,0,0,0,0,0,27.3,1,2,0,0,2.507,1.393,8.723,1,1.028,1.151,0,0,0,1.018,1,0,0,0,2.214,-0.228,0,0,1.542,0,0,0,1,3.325,2.767,0,7.303,0,0,RB
3.802,2.8425,0,0,0,0,0,31.6,2,1,0,0,2.746,1.95,8.394,1,0.98,1.142,0,0,0,1.169,0,0,0,0,1.848,0.129,0,0,2.885,0,0,0,1,3.104,2.357,0,7.119,0,0,RB
4.235,3.0785,0,0,0,0,0,28,2,2,0,0,2.975,1.975,9.118,2,0.989,1.15,0,0,0,1.137,0,0,0,0,1.962,0.043,0,0,3.449,0,0,0,1,3.112,2.315,0,7.316,0,0,RB
4.752,3.995,0,0,0,0,0,31,4,6,0,-0.307,3.987,3.022,10.465,10,1,1.143,0,0,0,1.149,0,0,0,0,2.161,0,0,23.23,8.486,0,0,0,0,3.451,2.375,0,8.618,0,0,RB
4.618,4.7233,0,0,0,0,0,33.3,2,4,0,-1.035,3.305,1.79,9.768,6,1.035,1.139,0,0,0,1.163,0,0,0,0,2.136,0.016,0,20.666,2.612,0,0,0,0,3.493,3.152,0,8.202,0,0,RB
4.562,4.1592,1,0,0,0,0,10,0,2,0,-0.713,2.978,0.918,9.184,0,1.082,1.175,0,0,0,1.152,0,0,0,0,2,-0.274,0,9.461,1.521,0,0,0,4,4.307,4.148,2,8.83,0,0,RB
4.77,2.8938,0,0,0,0,2,41.7,3,0,0,0,3.164,1.185,9.882,0,0.966,1.121,0,0,0,1.299,1,0,0,0,2.236,0.012,0,0,1.74,0,0,0,0,3.646,1.867,0,8.083,0,0,RB
4.517,2.6422,0,0,2,0,1,40,1,0,1,0,3.073,1.409,9.391,0,0.976,1.129,0,0,0,1.266,1,0,0,0,2.149,-0.024,0,0,2.036,0,0,1,2,3.553,2.074,1,7.884,0,0,RB
4.414,3.135,0,0,0,0,1,46.2,0,1,0,0,2.884,0.802,9.183,2,0.998,1.112,0,0,0,1.264,1,0,0,0,2.101,-0.08,0,0,0.975,0,1,0,1,3.566,2.524,0,7.811,0,0,RB
4.732,3.3319,0,0,0,0,2,42.9,0,2,0,0,3.025,0.875,9.579,4,1.022,1.119,0,0,0,1.219,1,0,0,0,2.194,0.047,0,0,0.854,0,2,0,2,3.67,2.917,0,8.008,0,0,RB
4.607,3.1517,0,0,0,0,2,41.2,0,2,0,0,3.118,1.187,9.631,4,1.011,1.122,0,0,0,1.214,1,0,0,0,2.194,-0.026,0,0,1.544,0,2,0,1,3.649,2.537,0,8.058,0,0,RB
4.898,3.1976,0,0,0,0,3,40.7,0,2,0,0,3.451,1.546,10.067,4,0.994,1.123,0,0,0,1.248,1,0,0,0,2.305,-0.002,0,0,2,0,2,0,0,3.729,2.192,0,8.364,0,0,RB
4.97,3.567,3,0,0,0,4,46.2,0,1,0,0,3.66,0.861,10.06,2,1.073,1.099,0,0,0,1.334,1,0,1,0,2.307,0.015,0,0,0.962,0,4,0,1,4.106,2.9,0,9.154,0,3,RB
4.782,2.9304,0,0,0,0,2,43.5,2,1,0,0,3.294,1.273,9.947,2,0.984,1.117,0,0,0,1.28,1,0,0,0,2.251,-0.007,0,10.288,1.951,0,0,0,0,3.671,2.333,0,8.238,0,0,RB
4.869,3.2685,0,0,0,0,3,40.9,1,3,0,0,3.404,1.528,10.009,6,1.018,1.123,0,0,0,1.22,1,0,0,0,2.29,0.004,0,10.337,1.945,0,2,0,1,3.743,2.75,0,8.362,0,0,RB
5.156,2.4524,0,0,0,0,4,55.6,0,6,0,-3.296,3.788,0.75,10.813,16,1.103,1.093,0,0,0,1.225,6,0,0,0,2.532,0,0,44.736,1.508,0,0,0,0,3.986,3.271,0,9.007,4,0,RB
5.072,3.2754,0,0,0,0,2,40,2,4,0,-1.016,3.678,1.875,10.32,10,1.016,1.125,0,0,0,1.21,1,0,0,0,2.349,0,0,23.088,2.707,0,0,0,0,3.793,2.667,0,8.642,2,0,RB
5.074,2.2282,0,0,0,0,3,44.2,1,4,0,-1.025,4.037,1.563,10.658,13,1.003,1.116,0,0,0,1.243,2,0,0,0,2.355,0,0,24.332,4.684,0,0,0,0,3.798,2.406,0,9.005,2,0,RB
5.072,3.1939,0,0,0,0,2,43.8,0,4,0,-1.165,3.808,2.123,10.379,12,1.015,1.117,0,0,0,1.235,1,0,0,0,2.351,0,0,23.409,3.342,0,0,0,0,3.795,2.704,0,8.776,2,0,RB
4.876,3.0864,0,0,0,0,2,41.7,0,4,0,-0.858,3.571,1.59,10.236,10,1.03,1.121,0,0,0,1.203,1,0,0,0,2.297,0.001,0,22.051,2.573,0,0,0,0,3.755,2.833,0,8.591,2,0,RB
4.842,2.9844,0,0,0,0,2,41.7,2,2,0,-0.87,3.39,1.258,10.136,4,0.998,1.121,0,0,0,1.238,1,0,0,0,2.278,0.004,0,10.482,2.113,0,0,0,1,3.718,2.611,0,8.382,0,0,RB
4.982,2.8539,0,0,0,0,2,53.3,0,3,0,-1.101,3.39,0.762,10.226,8,1.05,1.097,0,0,0,1.249,3,0,0,0,2.424,0.004,0,21.666,1.027,0,0,0,0,3.866,2.924,0,8.527,2,0,RB
4.828,2.2467,0,0,0,0,2,50,0,4,0,-1.417,3.838,0.584,10.424,10,1.026,1.104,0,0,0,1.248,2,0,0,0,2.265,0,0,22.962,4.401,0,0,0,0,3.715,2.648,0,8.88,0,0,RB
5.12,3.2785,0,0,0,0,3,36.8,3,6,0,-1.775,4.156,2.419,10.778,18,1.004,1.131,0,0,0,1.195,1,0,0,0,2.4,0,0,36.905,3.368,0,0,0,0,3.852,2.481,0,9.032,3,0,RB
4.732,3.0836,0,0,0,0,1,46.7,0,2,0,-0.879,3.151,1.187,9.642,4,1.02,1.111,0,0,0,1.235,1,0,0,0,2.194,-0.026,0,10.201,1.659,0,0,0,1,3.663,2.926,0,8.161,0,0,RB
4.77,3.1187,0,0,1,0,2,41.2,0,2,2,-0.931,3.249,1.185,9.882,4,1.024,1.127,0,0,0,1.219,1,0,0,0,2.236,0.015,0,10.271,1.74,0,1,2,3,3.707,3,1,8.288,0,0,RB
4.951,2.7402,0,0,0,0,2,38.7,2,3,0,-0.464,3.59,2.071,10.241,9,1.002,1.127,0,0,0,1.223,1,0,0,0,2.29,-0.001,0,11.465,3.744,0,1,0,1,3.743,2.522,0,8.502,1,0,RB
4.923,3.3133,0,0,0,0,2,43.8,0,3,0,-1.113,3.261,1.185,9.911,7,1.04,1.117,0,0,0,1.207,1,0,0,0,2.267,0.015,0,10.262,1.563,0,1,0,2,3.741,3.2,0,8.303,0,0,RB
4.972,3.3935,0,0,0,0,2,42.9,1,4,0,-1.648,3.513,1.508,10.173,8,1.04,1.119,0,0,0,1.211,1,0,0,0,2.307,-0.002,0,21.185,2.228,0,1,0,1,3.761,3.09,0,8.567,0,0,RB
4.845,2.7876,0,0,0,0,2,40,1,4,0,-0.746,3.678,2.125,10.281,8,1.016,1.125,0,0,0,1.217,1,0,0,0,2.282,0,0,22.67,3.549,0,1,0,0,3.718,2.667,0,8.635,0,0,RB
5.31,3.4619,1,0,0,0,1,37.5,0,3,0,0,3.425,1.185,10.25,6,1.044,1.112,0,0,0,1.246,1,0,0,0,2.288,0.015,0,20.777,1.726,0,1,0,1,4.734,3.258,0,9.474,0,0,RB
4.414,2.2808,0,0,0,0,0,35.3,0,1,0,0.464,2.801,0.802,9.183,2,0.985,1.134,0,0,0,1.197,1,0,0,0,2.101,-0.069,0,10.463,0.975,0,0,0,0,3.344,2.31,0,7.446,0,0,RB
4.963,2.736,0,0,0,0,3,52.4,0,2,0,-0.884,3.532,0.985,10.277,4,1.009,1.099,0,0,0,1.296,3,0,0,0,2.359,0.001,0,10.645,1.762,0,0,0,1,3.881,2.59,0,8.68,0,0,RB
4.877,2.6955,0,0,0,0,3,47.1,0,3,0,0,3.359,0.943,10.07,6,1.037,1.11,0,0,0,1.243,3,0,0,0,2.36,0.004,0,10.31,1.496,0,2,0,0,3.775,2.591,0,8.386,0,0,RB
4.414,2.8449,0,0,0,0,0,41.7,0,1,1,0.041,2.898,0.802,9.183,2,1.016,1.128,0,0,0,1.254,1,0,0,0,2.101,-0.082,0,10.249,0.975,0,0,2,1,3.535,2.738,1,7.809,0,0,RB
4.963,2.8471,0,0,1,0,2,50,0,2,3,-0.995,3.539,0.985,10.277,2,1.02,1.108,0,0,0,1.277,3,0,0,0,2.359,0.001,0,10.582,1.762,0,0,4,1,3.899,2.667,1,8.702,0,0,RB
4.789,2.8739,0,0,0,0,0,30.8,3,4,0,-0.318,3.354,1.425,10.091,6,1.019,1.144,0,0,0,1.149,1,0,0,0,2.274,0.004,0,10.582,2.257,0,0,0,0,3.477,2.556,0,8.121,0,0,RB
4.362,2.3925,0,0,0,0,0,31.6,0,1,2,0.225,2.93,0.75,9.272,2,0.992,1.147,0,0,0,1.177,1,0,0,0,2.091,0.041,0,10.572,1.017,0,0,2,1,3.355,2.333,1,7.556,0,0,RB
4.983,4.2631,0,0,0,0,0,23.1,2,6,0,0,3.342,1.792,10.074,8,1.044,1.16,0,0,0,1.011,0,0,0,0,2.247,-0.008,0,0,2.666,0,0,0,6,3.397,3.694,0,7.88,0,0,RB
4.977,1.8975,0,0,0,0,0,31.6,1,6,0,-0.336,4.19,3.866,10.735,9,0.991,1.142,0,0,0,1.157,1,0,0,0,2.361,0,0,11.756,10.593,0,0,0,3,3.497,2.267,0,8.727,0,0,RB
5.164,3.0492,0,0,1,0,0,26.7,2,6,1,-0.462,3.592,1.437,10.493,9,1.042,1.155,0,0,0,1.083,1,0,0,0,2.402,-0.001,0,10.741,2.081,0,0,3,5,3.551,3.256,1,8.338,0,0,RB
3.732,2.4945,0,0,0,0,0,22.2,1,0,2,0,2.553,1.585,8.16,0,0.979,1.171,0,0,0,1.119,0,0,0,0,1.802,-0.212,0,0,2.488,0,0,2,3,2.89,2.167,2,6.675,0,0,RB
3.966,2.9244,0,0,2,0,0,30.8,2,0,2,0,3.545,3.146,9.522,0,0.964,1.145,0,0,0,1.194,0,0,0,0,1.97,0,0,0,6.909,0,0,2,1,3.005,1.618,1,7.749,0,0,RB
3.986,2.958,0,0,0,0,0,32.1,2,1,0,0,4.008,3.792,10.039,1,0.965,1.141,0,0,0,1.198,0,0,0,0,1.987,0,0,0,10.955,0,0,0,1,3.01,1.685,0,8.228,0,0,RB
4.235,2.7848,0,0,0,0,0,29.6,2,1,0,0,2.946,1.975,9.118,1,0.973,1.146,0,0,0,1.168,0,0,0,0,1.962,0.039,0,0,3.449,0,0,0,1,3.064,2.093,0,7.229,0,0,RB
4.236,1.599,0,0,0,0,0,32.8,1,1,0,0,3.78,3.974,9.949,1,0.967,1.14,0,0,0,1.189,1,0,0,0,2.236,0,0,0,8.475,0,0,0,0,3.322,1.611,0,8.211,0,0,RB
4.362,3.0285,0,0,0,0,0,27.3,3,2,0,0,2.867,1.906,9.059,2,0.993,1.151,0,0,0,1.123,0,0,0,0,2,-0.074,0,0,2.524,0,0,0,2,3.076,2.667,0,7.149,0,0,RB
4.414,3.7375,0,0,0,0,0,35.3,3,1,0,1.188,2.812,1.379,9.222,1,0.985,1.134,0,0,0,1.258,0,0,0,0,2,0.135,0,10.178,2.133,0,0,0,0,3.467,2.619,0,7.714,0,0,RB
4,3.2163,0,0,0,0,0,25,1,2,0,-0.833,2.334,0.811,8.318,0,1.053,1.156,0,0,0,1.076,0,0,0,0,1.732,-0.687,0,9,1,0,0,0,1,3.304,4.167,0,7.178,0,0,RB
4.412,3.402,0,0,0,0,0,32.8,2,4,0,-0.327,4.486,4.297,10.675,6,0.974,1.14,0,0,0,1.193,0,0,0,0,2.086,0,0,23.775,15.507,0,0,0,0,3.405,1.889,0,8.926,0,0,RB
4.534,4.002,0,0,0,0,0,32.4,4,4,0,-0.28,4.039,3.181,10.485,10,0.983,1.141,0,0,0,1.18,0,0,0,0,2.14,0,0,23.596,8.016,0,0,0,0,3.408,2.154,0,8.619,0,0,RB
4.386,3.408,0,0,0,0,0,32.5,2,4,0,-0.09,4.167,3.774,10.379,8,0.98,1.14,0,0,0,1.186,0,0,0,0,2.068,0,0,23.377,10.97,0,0,0,0,3.376,2.044,0,8.67,0,0,RB
4.263,3.1913,1,0,0,0,0,28.6,0,4,0,-1.68,3.41,2.187,9.533,4,1.038,1.135,0,0,0,1.159,0,0,0,0,2,0.015,0,19.933,4.143,0,0,0,2,3.643,3.379,0,8.478,0,0,RB
4.17,3.4143,0,0,0,0,0,30,0,1,1,-0.481,2.548,0.971,8.597,1,1.02,1.154,0,0,0,1.174,0,0,0,0,1.848,0.425,0,9.472,1.542,0,0,1,2,3.379,3.533,1,7.404,0,0,RB
4.65,4.0313,0,0,1,0,0,31.3,3,2,0,0.159,3.39,2.134,9.916,5,0.991,1.145,0,0,0,1.184,0,0,0,0,2.122,0.004,0,10.961,3.936,0,0,3,0,3.527,2.372,1,8.131,0,0,RB
4.347,3.4478,0,0,1,0,0,30.8,1,2,2,-0.193,3.233,2.3,9.338,4,0.998,1.147,0,0,0,1.169,0,0,0,0,2.011,0.014,0,10.535,4.098,0,0,1,1,3.405,2.515,1,7.864,0,0,RB
4.343,3.9399,0,0,0,0,0,33.3,0,4,0,-2.514,3.047,1.5,9.309,4,1.09,1.139,0,0,0,1.108,0,0,0,0,2,-0.097,0,19.107,2.682,0,0,0,2,3.519,4.167,0,8.016,0,0,RB
4.562,3.6148,0,0,0,0,0,25,1,3,0,-1.185,2.71,0.918,9.184,2,1.053,1.156,0,0,0,1.066,0,0,0,0,2,-0.265,0,9.449,1.521,0,0,0,2,3.424,4,0,7.507,0,0,RB
4.691,3.9139,0,0,0,0,0,26.7,0,5,0,-2.845,3.138,1.436,9.666,5,1.086,1.153,0,0,0,1.066,0,0,0,0,2.117,0.053,0,19.412,2.428,0,0,0,3,3.49,4.241,0,8.03,0,0,RB
4.476,3.72,0,0,0,0,0,31.3,1,3,0,-0.644,2.985,1.5,9.345,4,1.032,1.143,0,0,0,1.156,0,0,0,0,2.042,-0.088,0,20.291,2.34,0,0,0,0,3.458,3.292,0,7.864,0,0,RB
4.385,3.9908,0,0,0,0,0,32.4,0,7,0,-1.569,3.819,3.09,9.999,10,1.034,1.141,0,0,0,1.135,0,0,0,0,2.061,0,0,21.678,6.884,0,0,0,0,3.432,2.833,0,8.562,0,0,RB
4.791,4.5316,0,0,2,0,0,23.1,2,2,8,-1.384,3.354,1.73,9.99,2,1.018,1.173,0,0,0,1.117,0,0,0,0,2.194,-0.008,0,20.829,2.395,0,0,2,6,3.467,3.083,4,8.19,0,0,RB
4.303,3.3317,0,0,0,0,0,34.8,3,1,0,1.559,3.027,1.837,9.389,1,0.979,1.135,0,0,0,1.236,0,0,0,0,2,0.042,0,10.396,3.193,0,0,0,0,3.349,2.37,0,7.827,0,0,RB
4.499,2.8945,1,0,0,0,1,46.7,1,0,0,0,3.185,1.125,9.311,0,0.991,1.107,0,0,0,1.323,1,0,1,0,2.136,0.043,0,0,1.481,0,0,0,0,3.692,2.16,0,8.337,0,1,RB
4.651,2.6738,0,0,2,0,1,41.7,1,2,3,-0.396,3.482,1.911,9.989,3,1.007,1.125,0,0,0,1.256,1,0,0,0,2.202,-0.002,0,21.674,3.267,0,1,3,1,3.611,2.692,1,8.461,0,0,RB
4.692,2.7215,0,0,2,0,2,40.7,2,2,3,-0.393,3.547,1.876,10.164,3,1.002,1.126,0,0,0,1.259,1,0,0,0,2.236,0.001,0,21.814,3.356,0,1,3,1,3.659,2.619,1,8.548,0,0,RB
4.543,2.5935,0,0,2,0,1,40.9,1,1,2,0.008,3.298,1.705,9.722,1,0.993,1.127,0,0,0,1.253,1,0,0,0,2.166,-0.008,0,10.506,2.905,0,0,2,1,3.567,2.394,1,8.223,0,0,RB
4.653,1.8048,0,0,0,0,2,36.2,1,1,0,0,3.874,3.355,10.213,2,0.97,1.132,0,0,0,1.236,1,0,0,0,2.214,0,0,0,8.143,0,1,0,1,3.64,1.833,0,8.486,0,0,RB
4.562,3.2113,0,0,0,0,2,42.9,0,2,0,0,3.025,0.875,9.54,4,1.022,1.119,0,0,0,1.209,1,0,0,0,2.17,0.047,0,0,1.14,0,2,0,2,3.646,2.917,0,8.003,0,0,RB
4.77,3.031,0,0,0,0,2,45,2,1,0,0.125,3.217,1.185,9.882,2,0.987,1.114,0,0,0,1.294,1,0,0,0,2.236,0.014,0,10.757,1.74,0,0,0,0,3.695,2.4,0,8.251,0,0,RB
5.072,2.4853,0,0,0,0,2,36.1,4,4,0,-0.892,4.22,2.972,10.799,12,0.984,1.133,0,0,0,1.22,1,0,0,0,2.351,0,0,24.843,7.668,0,0,0,0,3.794,2.144,0,8.984,2,0,RB
4.882,3.2502,0,0,0,0,2,44.4,0,4,0,-2.254,3.451,1.258,10.136,8,1.053,1.116,0,0,0,1.194,1,0,0,0,2.288,0.005,0,20.766,2.011,0,0,0,2,3.762,3.389,0,8.529,0,0,RB
4.844,2.3785,0,0,0,0,3,50,0,3,0,-0.439,3.716,0.625,10.35,9,1.015,1.104,0,0,0,1.266,2,0,0,0,2.286,0,0,11.622,3.405,0,2,0,1,3.736,2.573,0,8.765,1,0,RB
4.77,2.6687,0,0,0,0,0,38.5,3,0,0,4.722,3.131,1.185,9.882,0,0.964,1.128,0,0,0,1.264,1,0,0,0,2.236,0.012,0,0,1.74,0,0,0,0,3.533,1.75,0,7.981,0,0,RB
4.675,1.7703,0,0,2,0,0,33.3,0,0,4,0,3.343,0,9.971,0,0.967,1.141,0,0,0,1.185,2,0,0,0,2.236,0.001,0,0,2.829,0,0,4,1,3.269,1.551,1,7.764,0,0,RB
4.645,1.7575,1,0,0,0,3,45.7,0,3,0,0,4.173,0,10.642,12,0.993,1.107,0,0,0,1.297,3,0,0,0,2.236,0,0,0,3.604,0,0,0,0,3.957,2.043,0,9.309,0,0,RB
4.679,3.1788,0,0,0,0,2,44.4,0,2,0,0,3.233,1.261,9.715,4,1.011,1.116,0,0,0,1.246,1,0,0,0,2.222,0.014,0,10.219,1.695,0,1,0,0,3.67,2.583,0,8.192,0,0,RB
4.863,2.4397,1,0,0,0,3,54.5,0,0,0,0,4.043,0.569,10.135,0,0.984,1.087,0,0,0,1.381,2,1,0,0,2.3,0.001,1,0,2.241,0,1,0,0,6.879,1.981,0,11.612,0,1,RB
4.481,2.7716,0,0,0,0,0,33.3,0,2,0,-0.065,2.566,0.929,9.053,1,1.047,1.139,0,0,0,1.127,1,0,0,0,2.136,-0.239,0,9.677,0.964,0,0,0,0,3.454,3.033,0,7.487,0,0,RB
4.414,3.0463,0,0,0,0,0,38.5,1,2,0,0,2.895,1.203,9.209,1,1.023,1.128,0,0,0,1.241,1,0,0,0,2.152,-0.083,0,0,1.496,0,0,0,1,3.637,2.667,0,7.872,0,0,RB
4.303,2.6696,0,0,0,0,0,33.3,0,2,0,-0.046,2.709,0.862,9.067,2,1.025,1.139,0,0,0,1.166,1,0,0,0,2.115,0.137,0,10.021,0.956,0,0,0,0,3.416,2.778,0,7.481,0,0,RB
4.875,2.757,0,0,0,0,0,35.3,1,3,0,-0.444,3.12,1.233,9.856,6,1.03,1.135,0,0,0,1.19,1,0,0,0,2.288,-0.026,0,21.128,1.585,1,0,0,0,3.588,3.019,0,8.043,0,0,RB
4.414,2.9065,0,0,0,0,0,30.8,1,3,0,-0.549,2.875,0.917,9.459,3,1.049,1.144,0,0,0,1.119,1,0,0,0,2.199,-0.085,0,10.009,1.101,0,0,0,0,3.512,2.929,0,7.713,0,0,RB
4.882,3.3902,0,0,0,0,0,41.2,0,4,1,-2.476,3.459,1.258,10.136,4,1.069,1.127,0,0,0,1.179,1,0,0,0,2.288,0.005,0,20.641,2.011,0,0,4,2,3.785,3.472,1,8.553,0,0,RB
4.17,3.1898,0,0,0,0,0,20,1,2,0,-0.968,2.533,0.971,8.597,0,1.052,1.175,0,0,0,1.032,0,0,0,0,1.848,0.441,0,9.243,1.542,0,0,1,3,3.326,4.033,1,7.273,0,0,RB
4.414,2.9195,0,0,0,0,0,27.3,0,2,0,-0.657,2.915,0.917,9.459,3,1.067,1.166,0,0,0,1.127,1,0,0,0,2.199,-0.087,0,20.069,1.101,0,0,2,2,3.556,3.405,2,7.873,0,0,RB
5.076,3.5506,0,0,1,0,0,38.1,2,3,2,0,3.418,1.258,10.189,7,1.029,1.133,0,0,0,1.204,1,0,0,0,2.352,0.004,0,10.46,1.244,0,1,3,2,3.821,3.014,1,8.441,0,0,RB
4.655,3.6465,0,0,2,0,0,25,0,3,2,-1.641,3.198,1.761,9.723,3,1.036,1.164,0,0,0,1.1,0,0,0,0,2.107,-0.028,0,20.135,2.989,0,0,3,5,3.445,3.567,2,8.044,0,0,RB
3.414,2.4441,1,0,0,0,0,33.3,1,0,0,0,2.631,1,7.408,0,0.997,1.132,0,0,0,1.291,0,0,1,0,1.618,-0.575,0,0,1.707,0,0,0,0,3.567,2.653,0,7.775,0,1,RB
4.303,3.0634,0,0,0,0,0,21.4,2,3,0,0,2.648,1.459,8.815,2,1.037,1.164,0,0,0,0.995,0,0,0,0,1.932,-0.253,0,0,1.745,0,0,0,3,3.102,3.722,0,6.978,0,0,RB
4.303,3.0468,1,0,0,0,0,23.1,2,2,0,0,2.913,1.459,8.815,1,1.039,1.156,0,0,0,1.09,0,0,1,0,1.932,-0.244,0,0,1.745,0,0,0,2,3.579,3.407,0,7.899,0,1,RB
4.214,2.9483,0,0,0,0,0,23.5,1,1,0,0,2.587,1.459,8.755,0,0.991,1.164,0,0,0,1.127,0,0,0,0,1.902,-0.223,0,0,2.052,0,0,1,1,3.077,2.5,1,6.954,0,0,RB
